"draught","speed_through_water","beaufort","consumption_main_engine_mt_per_day","consumption_auxiliary_engine_mt_per_day","consumption_boiler_engine_mt_per_day","imo"
6.0,11.9,6.0,23.645350611669265,3.1,0.0,345678
6.0,12.0,0.0,11.820676454110393,3.6,1.0,345678
6.0,12.0,1.0,11.948437046341516,3.6,1.0,345678
6.0,12.0,2.0,12.307069106215838,3.6,1.0,345678
6.0,12.0,3.0,13.13051335703868,3.6,1.0,345678
6.0,12.0,4.0,14.855671967797868,3.1,0.0,345678
6.0,12.0,5.0,18.146615463151043,3.1,0.0,345678
6.0,12.0,6.0,24.061355942034762,3.1,0.0,345678
6.0,12.1,0.0,12.150624356799655,3.6,1.0,345678
6.0,12.1,1.0,12.281778005261486,3.6,1.0,345678
6.0,12.1,2.0,12.644429056332745,3.6,1.0,345678
6.0,12.1,3.0,13.475201742462142,3.6,1.0,345678
6.0,12.1,4.0,15.213110195798556,3.1,0.0,345678
6.0,12.1,5.0,18.52510821545354,3.1,0.0,345678
6.0,12.1,6.0,24.492809527206983,3.1,0.0,345678
6.0,12.2,0.0,12.482528403514694,3.6,1.0,345678
6.0,12.2,1.0,12.6154360045184,3.6,1.0,345678
6.0,12.2,2.0,12.982110174239438,3.6,1.0,345678
6.0,12.2,3.0,13.820198097405457,3.6,1.0,345678
6.0,12.2,4.0,15.570796504431396,3.1,0.0,345678
6.0,12.2,5.0,18.90369053502106,3.1,0.0,345678
6.0,12.2,6.0,24.924724428281078,3.1,0.0,345678
6.0,12.3,0.0,12.822151391263441,3.6,1.0,345678
6.0,12.3,1.0,12.956810304994614,3.6,1.0,345678
6.0,12.3,2.0,13.327490695456389,3.6,1.0,345678
6.0,12.3,3.0,14.172832746096551,3.6,1.0,345678
6.0,12.3,4.0,15.935960615025275,3.1,0.0,345678
6.0,12.3,5.0,19.291313524553075,3.1,0.0,345678
6.0,12.3,6.0,25.364168304195182,3.1,0.0,345678
6.0,12.4,0.0,13.169411950890906,3.6,1.0,345678
6.0,12.4,1.0,13.305819027456941,3.6,1.0,345678
6.0,12.4,2.0,13.68048758378633,3.6,1.0,345678
6.0,12.4,3.0,14.533020572628718,3.1,0.0,345678
